
3  50.90222200  004.53805600    187 11460 100   -2.0 BUB  BRUSSELS VOR-DME
4  50.91555600  004.50305600    184 10990  18      14.413 IBX  EBBR 01  ILS-cat-I
4  50.88500000  004.49055600    184 11115  18     194.476 IBM  EBBR 19  ILS-cat-I
4  50.45452900  004.43452000    614 11090  18     245.540 IGC  EBCI 24  ILS-cat-I
6  50.88997200  004.49450000    159 10990  10  300014.413 IBX  EBBR 01  GS
6  50.90833300  004.50194400     93 11115  10  300194.413 IBM  EBBR 19  GS
6  50.46262900  004.46658900    578 11090  10  300245.540 IGC  EBCI 24  GS
7  50.82694400  004.46694400    184     0   0      14.413 ---- EBBR 01  OM
7  50.48944400  004.55527800    614     0   0     245.540 ---- EBCI 24  OM
8  50.46888900  004.48472200    614     0   0     245.540 ---- EBCI 24  MM
12  50.89000000  004.49441700    184 10990  18       0.200 IBX  EBBR 01  DME-ILS
12  50.90833300  004.50194400    184 11115  18       0.200 IBM  EBBR 19  DME-ILS
12  50.90222200  004.53805600    187 11460 100    0.0 BUB  BRUSSELS VOR-DME
99
