I
1130 Generated by WorldEditor 2.0.0r4

1    521 0 0 EBBZ Buzet
1302 city Pont-à-Celles
1302 country Belgium
1302 datum_lat 50.541666667
1302 datum_lon 4.381111111
1302 faa_code 
1302 iata_code 
1302 icao_code EBBZ
1302 region_code EB
1302 state Hainaut
1302 transition_alt 
1302 transition_level 
100 40.00 3 0 0.50 0 0 0 15  50.54426687  004.38109187    0    0 0 0 0 0 33  50.54067353  004.38396749    0    0 0 0 0 0
110 2 0.25 156.0000 Apron N
111  50.54373648  004.38021512
111  50.54372531  004.38017800
111  50.54387165  004.38007742
111  50.54386225  004.38004627
111  50.54375637  004.38011986
111  50.54371873  004.37998326
111  50.54367076  004.37995620
111  50.54359134  004.37965063
111  50.54337989  004.37979268
111  50.54338676  004.37981750
111  50.54324096  004.37992360
111  50.54330150  004.38010685
111  50.54339126  004.38004120
111  50.54343335  004.38020407
111  50.54351148  004.38020185
111  50.54353439  004.38030320
111  50.54332950  004.38044285
111  50.54331015  004.38043926
111  50.54326860  004.38029298
111  50.54318749  004.38015625
111  50.54312203  004.37991533
111  50.54310003  004.37992995
111  50.54312306  004.38001182
111  50.54307475  004.38004410
111  50.54308342  004.38007419
111  50.54313031  004.38004301
111  50.54316046  004.38014993
111  50.54310983  004.38018468
111  50.54311687  004.38021474
111  50.54317076  004.38018155
111  50.54324651  004.38030565
111  50.54324427  004.38033356
111  50.54307064  004.38045702
111  50.54316326  004.38081316
111  50.54326759  004.38075247
112  50.54326759  004.38075247  50.54331813  004.38072975
112  50.54334122  004.38048971  50.54339242  004.38045149
111  50.54334122  004.38048971
111  50.54340528  004.38044457
112  50.54343411  004.38046336  50.54344132  004.38049504
111  50.54343411  004.38046336
111  50.54345452  004.38055472
112  50.54344886  004.38061978  50.54345721  004.38065803
112  50.54350046  004.38064404  50.54351224  004.38063806
112  50.54351726  004.38057594  50.54350891  004.38053888
111  50.54348428  004.38053850
111  50.54346015  004.38044505
112  50.54346015  004.38044505  50.54345332  004.38041576
111  50.54346326  004.38040372
113  50.54354080  004.38034909
110 5 0.25 0.0000 Apron M
111  50.54294917  004.38081278
111  50.54299825  004.38078791
112  50.54299825  004.38078791  50.54303042  004.38090773
112  50.54318022  004.38088503  50.54325374  004.38087780
111  50.54318022  004.38088503
111  50.54317775  004.38084948
112  50.54317775  004.38084948  50.54310358  004.38085362
112  50.54302154  004.38077239  50.54300053  004.38068459
111  50.54302154  004.38077239
111  50.54299910  004.38068433
111  50.54303649  004.38066307
111  50.54302894  004.38063081
111  50.54299183  004.38065304
111  50.54296666  004.38054840
111  50.54300303  004.38052600
111  50.54299487  004.38049209
111  50.54295815  004.38051539
111  50.54291405  004.38034353
111  50.54295150  004.38032046
111  50.54294280  004.38028721
111  50.54290571  004.38031393
111  50.54287642  004.38019720
111  50.54291373  004.38017255
111  50.54290632  004.38013987
111  50.54286773  004.38016221
111  50.54285756  004.38011982
111  50.54283454  004.38013471
111  50.54284442  004.38017627
111  50.54279665  004.38020610
111  50.54280527  004.38024060
111  50.54285505  004.38020917
111  50.54288510  004.38032435
111  50.54283339  004.38035811
111  50.54284251  004.38039212
111  50.54289402  004.38035907
111  50.54293685  004.38052997
111  50.54288714  004.38056234
111  50.54289730  004.38059857
111  50.54294472  004.38056738
111  50.54296956  004.38066845
111  50.54292556  004.38069800
111  50.54293244  004.38072633
111  50.54297686  004.38069770
111  50.54299044  004.38075861
113  50.54294426  004.38078759
110 5 0.25 0.0000 Apron S
111  50.54253098  004.38027889
111  50.54255239  004.38036325
111  50.54251298  004.38038878
111  50.54252370  004.38042878
111  50.54256249  004.38040355
111  50.54259000  004.38051563
111  50.54255183  004.38054308
111  50.54256195  004.38058251
111  50.54259978  004.38055680
111  50.54270562  004.38098564
112  50.54270562  004.38098564  50.54273193  004.38107574
112  50.54283204  004.38108817  50.54287853  004.38110036
111  50.54283204  004.38108817
111  50.54283443  004.38104926
112  50.54283443  004.38104926  50.54280228  004.38104438
112  50.54272864  004.38097268  50.54270270  004.38090029
111  50.54272864  004.38097268
111  50.54270833  004.38089800
111  50.54274724  004.38087345
111  50.54273783  004.38083557
111  50.54269884  004.38086104
111  50.54266864  004.38074124
111  50.54271051  004.38071173
111  50.54270353  004.38068523
111  50.54266177  004.38070977
111  50.54262187  004.38054100
111  50.54266488  004.38051385
111  50.54265530  004.38047225
111  50.54261277  004.38050145
111  50.54258531  004.38038825
111  50.54262871  004.38036130
111  50.54261824  004.38032304
111  50.54257449  004.38034925
113  50.54255364  004.38026537
110 3 0.50 60.0000 Taxiway
111  50.54411753  004.38064695
112  50.54411753  004.38064695  50.54414311  004.38063583
112  50.54425298  004.38104443  50.54423655  004.38105627
111  50.54425298  004.38104443
112  50.54425298  004.38104443  50.54424783  004.38104920
112  50.54423393  004.38106306  50.54422633  004.38106992
111  50.54423393  004.38106306
112  50.54423393  004.38106306  50.54420718  004.38108721
112  50.54418333  004.38115962  50.54419453  004.38119736
111  50.54418333  004.38115962
112  50.54418333  004.38115962  50.54419771  004.38120809
111  50.54428137  004.38113935
112  50.54433062  004.38096053  50.54429982  004.38086467
111  50.54433062  004.38096053
111  50.54420887  004.38057679
112  50.54408612  004.38041327  50.54402738  004.38043002
111  50.54408612  004.38041327
111  50.54385365  004.38047667
112  50.54385365  004.38047667  50.54377492  004.38044869
112  50.54368179  004.38024765  50.54360500  004.38030463
111  50.54368179  004.38024765
111  50.54333232  004.38049125
111  50.54316326  004.38081316
111  50.54318022  004.38088503
112  50.54325953  004.38089988  50.54327487  004.38092435
112  50.54328574  004.38100176  50.54326622  004.38100135
111  50.54328574  004.38100176
111  50.54283443  004.38104926
111  50.54283204  004.38108817
111  50.54329899  004.38104315
112  50.54329899  004.38104315  50.54334501  004.38105328
112  50.54328371  004.38119425  50.54322225  004.38124887
111  50.54328371  004.38119425
111  50.54182076  004.38236005
112  50.54182076  004.38236005  50.54177851  004.38239073
112  50.54175810  004.38214177  50.54177292  004.38210135
111  50.54175810  004.38214177
111  50.54241998  004.38060567
112  50.54241998  004.38060567  50.54243709  004.38057156
112  50.54256195  004.38058251  50.54261956  004.38054751
111  50.54256195  004.38058251
111  50.54251298  004.38038878
112  50.54243334  004.38047544  50.54240482  004.38053916
111  50.54243334  004.38047544
111  50.54172968  004.38211139
112  50.54172968  004.38211139  50.54171736  004.38215275
111  50.54157422  004.38238564
112  50.54157422  004.38238564  50.54153164  004.38250088
112  50.54155659  004.38256867  50.54150345  004.38261048
111  50.54155659  004.38256867
111  50.54051511  004.38342276
112  50.54051511  004.38342276  50.54042584  004.38349550
111  50.54051598  004.38376407
111  50.54058493  004.38397269
112  50.54058493  004.38397269  50.54061770  004.38408853
111  50.54069158  004.38402040
112  50.54076893  004.38388976  50.54075190  004.38383392
112  50.54065846  004.38391432  50.54065573  004.38391630
111  50.54065846  004.38391432
112  50.54065846  004.38391432  50.54062236  004.38394439
112  50.54055785  004.38348882  50.54062818  004.38343376
111  50.54055785  004.38348882
111  50.54171489  004.38255411
112  50.54171489  004.38255411  50.54176729  004.38251498
112  50.54189855  004.38293723  50.54197058  004.38288665
112  50.54184459  004.38245555  50.54189118  004.38241674
111  50.54184459  004.38245555
111  50.54336151  004.38123457
112  50.54336151  004.38123457  50.54340068  004.38119973
112  50.54353999  004.38160383  50.54359332  004.38155819
112  50.54347563  004.38113912  50.54352673  004.38109624
113  50.54347563  004.38113912
130 Airport Boundary
111  50.54228245  004.38020943
111  50.54112075  004.38094743
111  50.54150966  004.38254332
111  50.54037737  004.38344254
111  50.54062461  004.38434849
111  50.54498745  004.38083842
113  50.54447827  004.37886897
120 Linear Feature 15
111  50.54423243  004.38098004 24
111  50.54430508  004.38120504 24
111  50.54430372  004.38120619 24
111  50.54423156  004.38098245 24
111  50.54423038  004.38098336 24
115  50.54430290  004.38120837
120 Linear Feature 33
111  50.54063837  004.38385350 24
111  50.54071103  004.38407847 24
111  50.54070966  004.38407963 24
111  50.54063751  004.38385590 24
111  50.54063633  004.38385681 24
115  50.54070885  004.38408180
120 Linear Feature 8
111  50.54097760  004.38403638 24
111  50.54095319  004.38405568 24
111  50.54095393  004.38405767 24
111  50.54097725  004.38403893 24
111  50.54097787  004.38404093 24
115  50.54095366  004.38406021
120 Linear Feature 8
111  50.54129138  004.38378322 24
111  50.54126697  004.38380252 24
111  50.54126771  004.38380451 24
111  50.54129102  004.38378577 24
111  50.54129165  004.38378777 24
115  50.54126743  004.38380705
120 Linear Feature 8
111  50.54160985  004.38353267 24
111  50.54158543  004.38355198 24
111  50.54158617  004.38355396 24
111  50.54160949  004.38353522 24
111  50.54161011  004.38353722 24
115  50.54158590  004.38355650
120 Linear Feature 8
111  50.54192401  004.38327806 24
111  50.54189959  004.38329736 24
111  50.54190033  004.38329935 24
111  50.54192365  004.38328061 24
111  50.54192427  004.38328261 24
115  50.54190006  004.38330189
120 Linear Feature 8
111  50.54223731  004.38302751 24
111  50.54221289  004.38304681 24
111  50.54221363  004.38304880 24
111  50.54223695  004.38303006 24
111  50.54223757  004.38303206 24
115  50.54221336  004.38305134
120 Linear Feature 8
111  50.54254975  004.38277560 24
111  50.54252533  004.38279490 24
111  50.54252607  004.38279689 24
111  50.54254939  004.38277815 24
111  50.54255001  004.38278015 24
115  50.54252580  004.38279943
120 Linear Feature 8
111  50.54286735  004.38252233 24
111  50.54284294  004.38254164 24
111  50.54284368  004.38254363 24
111  50.54286699  004.38252489 24
111  50.54286762  004.38252689 24
